Norte,Este,Cota,dist_3d_m,Rec_Peso_PND25_(%),recpe,diferencia
25603.992,8896.836,1514.132,7.041333964526431,12.4,12.56281757,-0.16281756999999963
26029.625,9011.871,1839.699,8.086523789614757,15.4,15.37941742,0.020582580000001016
25708.682,8913.27,1586.962,4.92944905643623,16.1,15.95104885,0.14895115000000203
25143.9,8943.9,1475.9,6.688049042883817,14.6,14.79894257,-0.19894256999999982
25789.857,8868.632,1652.174,9.781776372418097,15.1,15.04849243,0.05150757000000006
24980.459,9098.023,1884.722,7.978188641540786,15.5,15.61441803,-0.1144180299999995
25827.915,8654.587,1219.739,2.8223952593499244,12.0,12.00000095,-9.500000004436515e-07
25804.168,8862.301,1626.027,7.3427892520501015,15.5,15.41382408,0.08617592000000052
25604.292,8881.648,1561.505,7.0983936915339125,19.9,19.54638863,0.3536113699999994
24968.162,8977.652,1835.855,5.343909898192324,17.6,17.48542976,0.1145702400000026
26398.533,8969.611,1605.232,8.669038816385962,12.8,12.80000114,-1.1400000001771105e-06
24752.244,9130.378,1804.749,7.171918920343607,17.2,16.87456703,0.3254329699999978
24386.705,9096.264,1414.744,3.134526599025076,17.4,17.32188225,0.07811774999999699
25036.903,8958.958,1489.077,6.838793899511114,13.2,13.45515251,-0.2551525100000003
24910.374,9087.109,1786.668,6.555911912160178,16.2,16.22631073,-0.02631073000000228
24983.83,8904.454,1340.92,4.032792580828731,10.7,10.79146099,-0.09146098999999985
24966.796,9065.842,1687.697,5.769175764354774,16.4,16.45325661,-0.053256610000001814
25759.923,9026.392,1739.631,10.386999277942783,11.8,12.60742092,-0.8074209199999984
25546.81,8829.641,1663.994,9.071219157313237,13.4,13.6623745,-0.26237449999999995
25500.241,8963.463,1775.981,3.4903883738075216,17.1,17.16914177,-0.0691417699999981
26157.295,9037.527,1819.228,4.13929196844104,18.3,18.21307182,0.08692818000000102
25551.583,9000.904,1707.236,8.614975391724135,16.0,16.29027939,-0.29027938999999847
25906.389,9048.852,1837.166,5.483956692024461,15.4,15.38771534,0.012284660000000613
25105.127,8900.779,1422.067,6.6562345962258815,20.4,20.01387024,0.3861297599999993
26212.873,8904.72,1438.238,7.376460736695125,15.8,15.80000019,-1.8999999973345894e-07
25382.002,8963.005,1650.13,8.863685971423246,21.2,21.19844437,0.0015556299999985868
25376.577,8969.47,1489.101,5.6908725165822585,15.5,15.5,0.0
26198.206,9047.681,1854.555,5.463444151816454,16.9,16.83794022,0.062059779999998455
25226.736,8974.54,1724.471,7.0278116793208145,20.4,20.42209435,-0.022094349999999707
25995.647,8909.568,1686.941,5.575187351111969,22.0,22.0,0.0
26195.432,8974.095,1590.598,9.920345407292627,14.3,15.76309776,-1.4630977600000001
24802.397,8957.61,1518.692,6.8813932455567715,21.6,21.12189865,0.47810135000000287
24801.809,8971.927,1480.811,7.265915702785772,10.6,10.9648962,-0.36489620000000045
24841.415,8914.196,1368.848,5.413939877760677,19.1,18.73090363,0.3690963700000012
24843.411,8934.162,1320.334,9.327042457285128,10.2,11.28322887,-1.083228870000001
26196.2,8961.6,1628.3,7.203471385379989,23.5,22.53435516,0.9656448399999995
26790.971,9023.016,1672.205,4.008880392330387,15.4,15.39999962,3.800000012432747e-07
26590.951,9025.886,1763.335,1.9701832402083628,14.8,14.76724434,0.032755660000001185
25155.122,8917.383,1551.959,3.584167127799125,16.0,15.94982433,0.050175669999999783
24384.428,9103.667,1378.819,7.151491732499007,15.1,15.19096088,-0.0909608800000008
24952.633,8879.8,1312.159,6.8442654828679075,15.1,14.61026955,0.4897304499999997
