Este,Norte,Cota,recpe_og,recpe_val,distancia_m
8896.836,25603.992,1514.132,12.4,12.56281757,7.04
9011.871,26029.625,1839.699,15.4,15.37941742,8.09
8913.27,25708.682,1586.962,16.1,15.95104885,4.93
8943.9,25143.9,1475.9,14.6,14.79894257,6.69
8868.632,25789.857,1652.174,15.1,15.04849243,9.78
9098.023,24980.459,1884.722,15.5,15.61441803,7.98
8654.587,25827.915,1219.739,12.0,12.00000095,2.82
8862.301,25804.168,1626.027,15.5,15.41382408,7.34
8881.648,25604.292,1561.505,19.9,19.54638863,7.1
8977.652,24968.162,1835.855,17.6,17.48542976,5.34
8969.611,26398.533,1605.232,12.8,12.80000114,8.67
9130.378,24752.244,1804.749,17.2,16.87456703,7.17
9096.264,24386.705,1414.744,17.4,17.32188225,3.13
8958.958,25036.903,1489.077,13.2,13.45515251,6.84
9087.109,24910.374,1786.668,16.2,16.22631073,6.56
8904.454,24983.83,1340.92,10.7,10.79146099,4.03
9065.842,24966.796,1687.697,16.4,16.45325661,5.77
9026.392,25759.923,1739.631,11.8,12.60742092,10.39
8829.641,25546.81,1663.994,13.4,13.6623745,9.07
8963.463,25500.241,1775.981,17.1,17.16914177,3.49
9037.527,26157.295,1819.228,18.3,18.21307182,4.14
9000.904,25551.583,1707.236,16.0,16.29027939,8.61
9048.852,25906.389,1837.166,15.4,15.38771534,5.48
8900.779,25105.127,1422.067,20.4,20.01387024,6.66
8904.72,26212.873,1438.238,15.8,15.80000019,7.38
8963.005,25382.002,1650.13,21.2,21.19844437,8.86
8969.47,25376.577,1489.101,15.5,15.5,5.69
9047.681,26198.206,1854.555,16.9,16.83794022,5.46
8974.54,25226.736,1724.471,20.4,20.42209435,7.03
8909.568,25995.647,1686.941,22.0,22.0,5.58
8974.095,26195.432,1590.598,14.3,15.76309776,9.92
8957.61,24802.397,1518.692,21.6,21.12189865,6.88
8971.927,24801.809,1480.811,10.6,10.9648962,7.27
8914.196,24841.415,1368.848,19.1,18.73090363,5.41
8934.162,24843.411,1320.334,10.2,11.28322887,9.33
8961.6,26196.2,1628.3,23.5,22.53435516,7.2
9023.016,26790.971,1672.205,15.4,15.39999962,4.01
9025.886,26590.951,1763.335,14.8,14.76724434,1.97
8917.383,25155.122,1551.959,16.0,15.94982433,3.58
9103.667,24384.428,1378.819,15.1,15.19096088,7.15
8879.8,24952.633,1312.159,15.1,14.61026955,6.84
9032.406,26024.492,1749.141,14.1,14.17712879,3.66
8880.246,24950.973,1284.463,14.3,14.01377106,8.31
