UE,Fuente,N,Media (%),Desv.Std (%),CV,Min (%),Max (%)
1,Real (Validación),70346,17.417371205239107,3.235257947318183,0.18574892325571063,4.3499999,42.0946846
1,Est. KNN,70346,17.22713157166751,3.5601956033911786,0.20666212413716228,8.802724817630054,32.72170644254169
1,Est. XGBoost,70346,18.055164570773353,4.482133804500954,0.248246632531745,5.892245909172243,60.86328645954879
1,Est. SVR,70346,17.105636869597106,2.5180491930847775,0.1472058136321285,10.225127552891019,27.600689065218535
1,Est. MLP,70346,17.272739601777566,2.931437149775966,0.16971466121531104,7.309283838211817,28.612180784597783
2,Real (Validación),247936,16.67881467155076,3.942557982595128,0.23638118536804612,7.51000023,41.37986374
2,Est. KNN,247936,16.579331313519248,3.4360319358543556,0.20724792037013698,9.180889687421963,32.72170644254169
2,Est. XGBoost,247936,16.751270678957475,4.0975381617898305,0.24461058747842065,4.730969768905498,60.62396599248369
2,Est. SVR,247936,16.109558820593808,2.2854269939210368,0.14186775810393015,10.21714960563678,25.753435520448296
2,Est. MLP,247936,16.424654969877153,2.5241850010779774,0.15368268044030983,7.443051633263432,30.323919789694557
3,Real (Validación),25450,21.308502521361493,5.945888226218665,0.2790382956408124,7.69999981,48.6161232
3,Est. KNN,25450,18.519587096345457,4.517096235356325,0.24390912237172402,8.802724817630054,32.72170644254169
3,Est. XGBoost,25450,19.727313970814095,6.806426770045378,0.3450255204593621,6.514552423240634,60.86328645954879
3,Est. SVR,25450,17.641566805350454,2.911678133901773,0.16504645908314106,10.496019259726568,28.83634646362951
3,Est. MLP,25450,18.44969680141972,3.7118622691958194,0.2011882530725485,8.562043991779426,40.768802561169586
