holeid;From;To;Este;Norte;Cota;Rec_Peso_PND25_(%)
DD8806;925.5;954;8896.836;25603.992;1514.132;12.4
DD5296;579;604.5;9011.871;26029.625;1839.699;15.4
DD5290;847.5;862.5;8913.27;25708.682;1586.962;16.1
DD8005;958.5;987;8943.9;25143.9;1475.9;14.6
DD4976;778.5;808;8868.632;25789.857;1652.174;15.1
DM5258;495;502.5;9098.023;24980.459;1884.722;15.5
DD4976;1263;1293;8654.587;25827.915;1219.739;12
DD3203;767;798.5;8862.301;25804.168;1626.027;15.5
DD8806;876;904;8881.648;25604.292;1561.505;19.9
DD5454;580.5;591;8977.652;24968.162;1835.855;17.6
DD3205;804.5;839;8969.611;26398.533;1605.232;12.8
DD5274;571.5;583.5;9130.378;24752.244;1804.749;17.2
DD5227;961.5;985.5;9096.264;24386.705;1414.744;17.4
DD4885;895.5;918;8958.958;25036.903;1489.077;13.2
DD8822;861;897;8960.014;28475.871;1654.478;10.9
DD4918C;658.5;690;9087.109;24910.374;1786.668;16.2
DD4903;1056;1090.5;8904.454;24983.83;1340.92;10.7
DD4901;732;754.5;9065.842;24966.796;1687.697;16.4
DD5291;661.5;678;9026.392;25759.923;1739.631;11.8
DD8561;741;763.5;8993.651;28296.3;1786.898;18.5
DD5116;472.5;498;8829.641;25546.81;1663.994;13.4
DD4900;325.5;343.5;8963.463;25500.241;1775.981;17.1
DD5302;609;642;9037.527;26157.295;1819.228;18.3
DD5123;381;411;9000.904;25551.583;1707.236;16
DD5000;355.5;381;9048.852;25906.389;1837.166;15.4
DD8811B;1048.5;1078;8900.779;25105.127;1422.067;20.4
DD8556;1026;1056;8904.72;26212.873;1438.238;15.8
DD3266;726;763.5;8963.005;25382.002;1650.13;21.2
DD3266;894;918;8969.47;25376.577;1489.101;15.5
DD3167;545;585.5;9047.681;26198.206;1854.555;16.9
DD8563;708;717;9000.099;28682.099;1835.974;21.2
DD8804;699;727.5;9011.918;28098.563;1808.222;17
DD8560;412.5;423;9131.047;28290.497;2125.626;13.4
DD8558;286.5;300;9128.534;27901.692;2207.938;21.8
DD8821;438;451.5;9084.206;28501.429;2073.464;16.8
DD8803;373.5;388.5;9114.293;28111.387;2127.225;17.4
DD8563;718.5;738;9005.231;28681.171;1821.113;20.6
DD8563;744;756;9012.233;28679.933;1800.558;18.7
DD8804;729;750;9019.497;28098.324;1783.092;19.9
DD8560;363;376.5;9109.462;28291.806;2168.478;20.3
DD8801;720;750;8974.54;25226.736;1724.471;20.4
DD8808;765;792;8909.568;25995.647;1686.941;22
DD8555;870;894;8974.095;26195.432;1590.598;14.3
DD8814;898.5;927;8957.61;24802.397;1518.692;21.6
DD8814;934.5;972;8971.927;24801.809;1480.811;10.6
DD8815;1077;1101;8914.196;24841.415;1368.848;19.1
DD8815;1129.5;1153.5;8934.162;24843.411;1320.334;10.2
DD8855;829.5;855;8961.6;26196.2;1628.3;23.5
DD8822;765;795;8935.382;28479.261;1750.304;18
DD8557;795;807;9023.016;26790.971;1672.205;15.4
DD8818;702;715.5;9025.886;26590.951;1763.335;14.8
DD8805;874;909;8917.383;25155.122;1551.959;16
DD5227;999;1021.5;9103.667;24384.428;1378.819;15.1
DD5245;1059;1084.5;8879.8;24952.633;1312.159;15.1
DD5296;672;697.5;9032.406;26024.492;1749.141;14.1
DD5245;1084.5;1114.5;8880.246;24950.973;1284.463;14.3
DD5274;631.5;643.5;9139.848;24752.322;1745.501;13.2
DD3136;597.5;609.5;9047.035;26001.25;1809.462;14.8
DD3173;830;864.5;8940.182;25810.498;1560.526;14.7
DD5309;343.5;363;8990.151;25652.673;1751.717;21
DD5100;490.5;511.5;8927.508;25400.771;1614.124;15.6
DD5290;736.5;748.5;8944.257;25703.791;1694.997;22.5
DD4903;1134;1155;8891.163;24981.964;1270.948;12.6
DD4891;600;630;8809.253;25500.099;1630.409;16.2
DD5274;643.5;660;9142.064;24752.343;1731.425;18.5
DD3173;767;830;8941.67;25807.92;1609.185;13.9
DD3170;603;636;9047.154;25594.014;1780.753;14.9
DD4901;675;712.5;9046.367;24971.701;1732.94;17.2
DM5258;558;565.5;9092.324;24978.542;1822.01;16.4
DM5258;574.5;582;9090.823;24978.05;1805.586;18.8
DD5290;795;805.5;8928.308;25706.63;1639.566;12.7
DD4976;1056;1078.5;8756.927;25807.131;1402.719;14.7
DD4976;892.5;915;8826.699;25796.015;1550.136;18.9
