block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,recpe,ue
1973112,8635.0,25707.5,1132.5,10.0,15.0,15.0,12.0,2
1973118,8625.0,25707.5,1132.5,10.0,15.0,15.0,12.0,2
1973124,8645.0,25707.5,1132.5,10.0,15.0,15.0,12.0,2
1973127,8655.0,25707.5,1132.5,10.0,15.0,15.0,12.0,2
1973130,8675.0,25707.5,1132.5,10.0,15.0,15.0,12.0,2
1973132,8665.0,25707.5,1132.5,10.0,15.0,15.0,12.0,2
1974312,8615.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974313,8615.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974318,8605.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974321,8625.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974324,8635.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974326,8635.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974327,8625.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974331,8645.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974332,8655.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974334,8645.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974335,8655.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974336,8665.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974338,8665.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974340,8675.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1974342,8675.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974346,8695.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974348,8685.0,25737.5,1132.5,10.0,15.0,15.0,12.0,2
1974351,8685.0,25722.5,1132.5,10.0,15.0,15.0,12.0,2
1975513,8595.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975520,8605.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975524,8615.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975525,8605.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975526,8615.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975528,8625.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975529,8625.0,25767.5,1117.5,10.0,15.0,15.0,12.0,2
1975530,8635.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975531,8635.0,25752.5,1117.5,10.0,15.0,15.0,12.0,2
1975533,8625.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975534,8635.0,25767.5,1117.5,10.0,15.0,15.0,12.0,2
1975535,8635.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975536,8655.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975537,8655.0,25752.5,1117.5,10.0,15.0,15.0,12.0,2
1975538,8655.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975539,8645.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975540,8645.0,25767.5,1117.5,10.0,15.0,15.0,12.0,2
1975541,8645.0,25752.5,1117.5,10.0,15.0,15.0,12.0,2
1975542,8645.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975543,8655.0,25767.5,1117.5,10.0,15.0,15.0,12.0,2
1975544,8665.0,25767.5,1117.5,10.0,15.0,15.0,12.0,2
1975545,8665.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975546,8675.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975547,8665.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975549,8675.0,25767.5,1117.5,10.0,15.0,15.0,12.0,2
1975550,8675.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975551,8665.0,25752.5,1117.5,10.0,15.0,15.0,12.0,2
1975553,8685.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975555,8685.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975557,8695.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1975559,8695.0,25752.5,1132.5,10.0,15.0,15.0,12.0,2
1975566,8705.0,25767.5,1132.5,10.0,15.0,15.0,12.0,2
1976725,8595.0,25797.5,1132.5,10.0,15.0,15.0,12.0,2
1976727,8595.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976728,8615.0,25797.5,1132.5,10.0,15.0,15.0,12.0,2
1976729,8615.0,25797.5,1117.5,10.0,15.0,15.0,12.0,2
1976731,8615.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976733,8605.0,25797.5,1132.5,10.0,15.0,15.0,12.0,2
1976734,8615.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976735,8605.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976736,8625.0,25797.5,1132.5,10.0,15.0,15.0,12.00000095,2
1976737,8625.0,25782.5,1117.5,10.0,15.0,15.0,12.0,2
1976738,8625.0,25782.5,1132.5,10.0,15.0,15.0,12.0,2
1976739,8635.0,25797.5,1132.5,10.0,15.0,15.0,12.0,2
